detail_id,detail_title
SFR-AA-001-0106,[디지털감사] 의사진행 AGORA 관리 아키텍처 수립
SFR-AA-001-0107,[디지털감사] 감사유형별 특성 의사진행 AGORA 기능 제공
SFR-AA-001-0201,[디지털감사] 정보 실시간 의사진행시스템 AGORA 기능 제공
SFR-BA-001-0101,[디지털감사] 설정 있으며 연간감사계획 카테고리 수립
SFR-BA-001-0201,[디지털감사] 카테고리 기간 변경내용 이력 관리체계 수립
SFR-BA-001-0301,[디지털감사] 분야 목표치 임계치 카테고리 기능 제공
SFR-BA-002-0101,[디지털감사] 연간감사계획 실무부서 가이드 기획담당관실 작성 체계 수립
SFR-BA-002-0201,[디지털감사] 연간감사계획 조정 확정 수립
SFR-BA-002-0301,[디지털감사] 연간감사계획 중점분야 카테고리 관리 수립
SFR-BA-002-0401,[디지털감사] 선택사항 감사계획 입력 대상기관 조회 기능 제공
SFR-BA-002-0501,[디지털감사] 결재 기획실 취합 연간감사계획 기능 제공
SFR-BA-002-0601,[디지털감사] 부서별 지표별 주요항목별 통계 기능 제공
SFR-BA-002-0701,[디지털감사] 연간감사계획 감사위원회 확정 과정 반영 절차 수립
SFR-BA-002-0801,[디지털감사] 작성 연간감사계획 공개문 구분 관리체계 수립
SFR-BA-003-0101,[디지털감사] 반기 분기 월감사계획 수립
SFR-BA-003-0102,[디지털감사] 삭제 작성할 반기 감사계획 기능 제공
SFR-BA-003-0103,[디지털감사] 진행 변경사항 조회할 감사계획 기능 제공
SFR-BA-003-0104,[디지털감사] 결재 상신 확정 감사계획 기능 제공
SFR-BA-003-0201,[디지털감사] 분기 리비전 반기 감사계획 생성 기능 제공
SFR-BA-004-0101,[디지털감사] 중점분야 카테고리별 진행관리 감사계획 기능 제공
SFR-BA-004-0102,[디지털감사] 건수 건별 감사계획 조회 기능 제공
SFR-BA-004-0103,[디지털감사] 대비 실적 비교 감사계획 기능 제공
SFR-BA-004-0104,[디지털감사] 비교 분석 모니터링할 감사계획 기능 제공
SFR-BA-004-0201,[디지털감사] 년중 반기 분기 월계획 수립
SFR-BA-005-0101,[디지털감사] 종류 기관정기감사 종합감사형 기능 제공
SFR-BA-005-0201,[디지털감사] 프로세스 유형 국민감사청구 기능 제공
SFR-BA-005-0202,[디지털감사] 기준 관리 국제기구감사 수립
SFR-BA-005-0301,[디지털감사] 감사 프로세스 유형 일반 기능 제공
SFR-BA-005-0302,[디지털감사] 프로세스 유형 실지감사 기능 제공
SFR-BA-005-0303,[디지털감사] 일반 프로세스 유형 실지감사 기능 제공
SFR-BA-005-0304,[디지털감사] 감사결 프로세스 유형 실지감사 기능 제공
